"DATASET","CLASSE","SOURCE","EMPLACEMENT","TABLE/FICHIER","VOLUME","CLE","SOURCE_DE_VERITE","CONSOMMATEURS","FRAICHEUR","QUALITE","DOUBLONS","DONNEES_SENSIBLES","ACTION_PROPOSEE"
"Raccourcis vocaux","QUARANTINE","PostgreSQL JULABA","Render (prod pilote)","raccourcis_vocaux","9 colonnes","id uuid","indeterminee","raccourcis.controller existe mais la table n'apparait dans aucun controleur scanne","inconnue","a verifier","non","non","A VERIFIER - lecture reelle par le runtime."
"Push, notifications, drapeaux","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","notifications, push_tokens, user_flags","3 tables","id uuid","PostgreSQL JULABA","BONotifications ; push_tokens et user_flags sans controleur","vivante/inconnue","melange","non","OUI - jetons d'appareil","Laisser."
"Cooperatives, tontines, cotisations","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","cooperatives, cooperative_membres, cooperative_stock(+mouvements), cooperative_transactions, tontines(+membres, mouvements), cotisations_sociales","10 tables","id uuid","PostgreSQL JULABA","ecrans cooperateur et BO","vivante","hors parcours pilote 1-5","OUI - schema tres proche du module cooperatives de Supabase (akoun-dev)","OUI - cotisations sociales","Laisser. Trancher la duplication avec Supabase."
"Portefeuille et paiements","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","wallets, wallet_transactions, bpay_transactions","3 tables, 32 colonnes","id uuid + idempotence transfert","PostgreSQL JULABA","wallet, BPay","vivante","invariants d'idempotence presents","non","OUI - flux monetaires","Ne pas toucher."
"Producteur (recoltes, cycles, commandes)","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","recoltes, cycles, commandes, publications, negociations","5 tables, 98 colonnes","id uuid","PostgreSQL JULABA","ecrans producteur, marketplace","vivante","hors parcours pilote","non","non","Laisser."
"Fidelite","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","fidelite_config, fidelite_clients, fidelite_evenements","3 tables","id uuid","PostgreSQL JULABA","module fidelite","vivante","tests unitaires presents","OUI - loyalty_engine equivalent dans Supabase","OUI - lien client","Laisser. Trancher la duplication."
"Journal d'audit","ANALYTICS","PostgreSQL JULABA","Render (prod pilote)","audit_logs","8 colonnes","id uuid","PostgreSQL JULABA","BOAudit","vivante","non mesuree","OUI - audit_events cote Supabase","OUI - traces d'actions nominatives","Laisser."
"Referentiel maitre vivrier","MASTER","Odoo 19","VPS Odoo reel (hors de cette machine)","product.template (prefixe VIV-*)","198 produits, 49 categories","default_code","ODOO - doctrine PILOTE-3, a ne pas rouvrir","AUCUN aujourd'hui - JULABA ne s'y connecte pas","injecte et verifie 198/198 (PASSATION.md:193)","verifie idempotent, prix nuls par construction","non (c'est la source)","non","PRIORITE 1 - brancher Render en lecture seule et synchroniser."
"Seed vivrier du POC Odoo","STAGING","Odoo 19","infra/odoo-poc (docker local)","seed_vivrier.py","3 references (JULABA-TOMATE, JULABA-BANANE, JULABA-RIZ-SAC)","default_code","banc d'essai","smoke test lecture seule","au gre des demarrages du POC","jeu minimal volontaire","OUI - chevauche le referentiel maitre","non","Laisser. Banc d'essai."
"Kit d'injection du referentiel maitre","STAGING","CSV","julaba-app","infra/odoo-poc/referentiel-maitre/01_categories_odoo.csv, 02_produits_odoo.csv, 03_mapping_julaba_local.csv","49 categories, 198 produits, 198 lignes de mapping","default_code / code_produit","Odoo (ces CSV en sont l'artefact d'injection)","seed_catalogue_maitre.py (administration Odoo)","fige - sha256 verifies OK le 22/09","198/198 codes distincts, 0 ligne incomplete, 0 categorie introuvable, jointure 198/198","non","non","Conserver. NE PAS charger directement en base (decision du 22/09)."
"Unites locales et alias de vente","MASTER","CSV","julaba-app","03_mapping_julaba_local.csv","198 lignes ; kg 191, tas 149, sac 90, unite 78, sachet 70, caisse 48, panier 47, botte 42, bassine 35, demi-sac 20, quart-sac 20, filet 15","code_produit","JULABA (Odoo ne porte pas les unites locales)","AUCUN - jamais charge nulle part","fige","complet et coherent","non","non","Donnee existante NON UTILISEE (cas 1). C'est ce qui manque le plus aux 21 produits en dur."
"Excel d'origine du kit","QUARANTINE","Excel","INTROUVABLE","Referentiel_maitre_vivrier_Odoo_v1.xlsx","inconnu","-","-","-","absent du depot et de tout l'historique git","le manifest en porte le sha256","les 3 CSV en sont derives","non","Perdu ou jamais versionne. Les CSV suffisent - ne pas bloquer dessus."
"Catalogue de la caisse EN DUR","QUARANTINE","Code","julaba-app","backend/src/caisse-rest/caisse-rest.controller.ts (const CATALOGUE)","21 produits","nom (pas de reference stable)","le code source lui-meme","GET /caisse/catalogue - c'est CE QUE LA MARCHANDE VOIT","figee au commit","generique : un seul Igname la ou le referentiel en a 4 ; aucune unite locale","OUI - concurrence directe du referentiel maitre de 198","non","A REMPLACER par catalogue_maitre (chemin 3, apres la synchro)."
"Comptes de demonstration EN DUR","QUARANTINE","Code","julaba-app","backend/src/database/seed-demo.service.ts (COMPTES)","15 comptes","phone","le code source","AUCUN sur le pilote (SEED_DEMO=false)","figee","jamais crees en prod","OUI - 34 comptes equivalents dans akoun-dev/COMPTES-TEST.md","OUI - mot de passe acteur en clair dans render.yaml (SEED_DEMO_PASSWORD)","Laisser desactive. Ne jamais activer SEED_DEMO sans SEED_DEMO_BO_PASSWORD."
"Categories de depense","MASTER","Code","julaba-app","frontend_src/src/app/services/categorieDepense.ts","11 categories","id (identifiant ferme)","ce module (une seule liste)","DepenseForm, MarchandDepenses, ResumeCaisse, backend /caisse/depense","vivante","DEP-02 ferme le 22/09 : etait ecrite 3 fois, l'est une seule","non (resolu)","non","Exemple a suivre pour les autres referentiels."
"Migrations backend JULABA","RAW","Code","julaba-app","backend/src/database/migrations/*.ts","27 migrations","horodatage","le depot","DbInit + TypeORM au boot","vivante","gate schema-pilote fige le resultat","non","non","Ne pas toucher."
"Migrations Supabase","RAW","Code","akoun-dev/julaba","supabase/migrations/*.sql","160 migrations, 128 tables","horodatage","le depot akoun-dev","Supabase","vivante","non auditee ici","OUI - 128 tables dont une bonne partie recouvre les 59 de JULABA","non","Hors perimetre de ce depot. A trancher au niveau produit."
"Corpus Manus 19 langues + fr-marche","AI","CSV","julaba-app","docs/langues/corpus-manus-2026-09-20/00-fr-marche.csv a 19-alladian.csv","20 fichiers x 168 lignes = 3 360 enonces","id d'enonce","Manus (livraison du 20/09)","AUCUN au runtime - aucune locale ne les charge","figee au 20/09","brouillon non valide - regle : aucune langue locale n'herite de la composition francaise","OUI - JULABA-LANG-CATALOG-MANUS-DRAFT.csv (3 192 lignes) reprend les memes enonces a plat","non","Donnee existante NON UTILISEE (cas 1). A valider langue par langue avant tout usage."
"Catalogue de langues valide","MASTER","CSV","julaba-app","docs/langues/JULABA-LANG-CATALOG.csv","514 lignes","id de cle","JULABA","documentation ; le runtime lit le catalogue TypeScript","au 20/09","valide","OUI - DIOULA-A-TRADUIRE.csv porte les memes 514 lignes","non","A rapprocher du catalogue vocal TypeScript (548 cles) - deux listes pour une meme chose."
"Mapping identifiants Claude/Manus","STAGING","CSV","julaba-app","docs/langues/CLAUDE-ID-MAPPING-RENSEIGNE.csv","168 lignes","id","JULABA","reconciliation des deux nomenclatures","au 20/09","renseigne","non","non","Conserver."
"Catalogue vocal runtime","MASTER","Code","julaba-app","frontend_src/src/app/i18n/voice/catalog.ts + locales/{fr-ci,dyu-ci,bci,bm,any}","548 cles, 5 locales","id de message","ce catalogue","tout l'ecran marchande (t(), tParle(), speakMessage())","vivante","gardes i18n-source, i18n-locales, i18n-argent, empreintes-argent","OUI - recouvre partiellement JULABA-LANG-CATALOG.csv","non","SOURCE DE VERITE des phrases. Le CSV doit en devenir un export, pas un double."
"Clips voix Tantie Nanti Lou","AI","Assets","julaba-app","frontend_src/public/voix/ (155 fichiers)","155 fichiers, 7,0 Mo","nom de fichier","enregistrements JULABA","audioManager, tataUiClips, precache service worker (137 clips pre-caches)","vivante","registre-tata-fr-ci.json : 128 entrees pour 155 fichiers","ecart registre/fichiers a verifier","OUI - voix d'une personne reelle (consentement a tracer)","A VERIFIER : 27 fichiers sans entree au registre, ou registre incomplet."
"Empreinte de parole figee (VOICE-01)","RAW","JSON","julaba-app","frontend_src/scripts/fixtures/parole-3917bb7.json","14 fichiers empreintes + inventaire des appels","chemin de fichier","le commit 3917bb7","test:voix-trace-source","refige le 22/09 (AppContext)","garde de non-regression","non","non","Ne pas toucher sans autorisation de Patrick."
"Jeu de donnees voix ivoirien","AI","Dataset","akoun-dev/julaba","data/voice/ivoirian-v1/ (metadata.csv, dataset-config.json)","48 Ko de metadonnees ; audio non versionne (.gitignore)","id d'echantillon","akoun-dev","pipeline Piper/Sherpa (autre depot)","inconnue","metadonnees seules","non","OUI - voix de locuteurs, consentement (VOICE_TALENT_CONSENT_TEMPLATE_FR.md)","Hors perimetre. Verifier la chaine de consentement avant tout usage."
"Geometries des regions CIV","MASTER","JSON","julaba-app","frontend_src/src/app/components/backoffice/utils/civ-regions.geo.json","14 entites, 158 Ko","CIV.n_1 (code GADM)","source externe (GADM)","BOZonesMap, BOSupervisionMap","figee","codes GADM non relies aux codes du seed backend","OUI - 14 districts existent aussi dans DISTRICTS_SEED, sans cle commune","non","A RELIER - une cle unique entre geometrie et referentiel administratif."
"Images produits et illustrations","RAW","Assets","julaba-app","frontend_src/src/assets/ (54 fichiers)","54 fichiers, 5,4 Mo","nom de fichier","le depot","ecrans marchande et BO","vivante","vignettes locales (correction #157 : plus d'hebergeur distant)","non","non","Ne pas toucher."
"Captures et rapports du banc terrain","ANALYTICS","JSON + PNG","julaba-app","docs/parcours/captures/ (150 fichiers)","150 fichiers, 47 Mo","ecran + horodatage","les campagnes de mesure","lecture humaine, comparaison avant/apres","22/09","rapports versionnes, captures 390x844","runs partiels et complets coexistent","A VERIFIER - captures d'ecrans de test, peuvent porter des donnees de demo","Conserver. Envisager une retention (47 Mo et ca grossit)."
"Matrice de recette v1.0","STAGING","Excel","hors depot","/root/.claude/uploads/.../Julaba_Tests_Recette_v1.0.xlsx","21 Ko","id de cas","Patrick","source des ids MAR-CAI-*, MAR-DEP-*, MAR-STK-*, MAR-HIS-*, MAR-VTE-*","v1.0","6 cas sur 7 fermes au 22/09","non","non","A VERSIONNER dans le depot : le backlog s'y refere et le fichier vit hors de git."
"Empreintes des gardes et perimetre argent","RAW","JSON","julaba-app","ci/EMPREINTE-GARDES.json, ci/PERIMETRE-ARGENT.json, ci/preuve-invariants.json","2 044 assertions / 88 fichiers d'argent / journal d'execution","chemin de fichier","les figeages autorises par Patrick","garde-argent, CI","22/09","figes explicitement, jamais par CI","non","non","Ne pas toucher."
"Schema Supabase JULABA (2e depot)","OPERATIONAL","Supabase","akoun-dev/julaba","128 tables","128 tables, 160 migrations","id uuid","akoun-dev/julaba","application Next.js du 2e depot","vivante (base distincte)","non auditee ici","OUI MASSIF - cooperatives, fidelite, audit, zones, produits, ventes existent des deux cotes","OUI - profils, ventes, sessions d'appareil","DECISION PRODUIT requise : deux plateformes, deux bases, un seul nom."
"Jeu de demonstration Supabase","STAGING","Supabase","akoun-dev/julaba","supabase/seed.sql","265 lignes sur 87 tables (dont role_permissions 30, device_sessions 17, permissions 10)","uuid fixes 00000000-...","le seed","environnement de dev du 2e depot","au 21/09","coherent","OUI - equivalent du seed-demo de JULABA","OUI - comptes et sessions","Hors perimetre."
"Comptes de test documentes","QUARANTINE","Markdown","akoun-dev/julaba","COMPTES-TEST.md","34 comptes : 7 BO, 5 marchands, 5 producteurs, 10 identificateurs, 2 cooperateurs","email ou telephone","le seed Supabase","recette manuelle du 2e depot","au 21/09","documente avec codes agents JID-0001 a JID-0010 et zones","OUI - aucun equivalent utilisable sur le pilote JULABA","OUI FORTE - mots de passe back-office et PIN EN CLAIR dans un fichier versionne","A TRAITER : ces identifiants ne doivent pas rester en clair dans un depot."
