ID,TYPE,DOMAINE,CRITIQUE_ARGENT,OWNER,FR_ACTUEL,FR_MARCHE,VARIABLES,VARIABLES_IMPLICITES,FR_STT_VARIANTS,DIOULA,BAOULE,AGNI,BETE,ADIOUKROU,EBRIE,ATTIE,ABOURE,SENOUFO_VARIANTE,WE,DAN,ABRON,KOULANGO,LOBI,DIDA,GOURO,AVIKAM,ABIDJI,ALLADIAN,STATUT_LINGUISTIQUE,AUDIO_STATUS,STATUT_INTEGRATION,SOURCE,NOTES
TATA_DONNE_RENDS,TTS_OUTPUT,caisse,OUI,manus,Elle t'a donné {recu} {devise}. Tu rends {monnaie} {devise}.,,recu monnaie,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/relectureSpontanee.ts:82,"Reçu + monnaie à rendre (l'exemple « TATA_027 » de la mission). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_LIGNE_AJOUTEE,TTS_OUTPUT,caisse,OUI,manus,"{quantite}, {montantLigne} {devise}. Total : {totalPanier} {devise}.",,quantite montantLigne totalPanier,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/relectureSpontanee.ts:122,"{quantite} = « 3 tas de tomate » (TATA_MESURE_DE_PRODUIT) ou « 2 tomates » (TATA_QUANTITE_PRODUIT). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_MESURE_DE_PRODUIT,TTS_OUTPUT,vente,non,claude,{mesure} de {produit},,mesure produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/relectureSpontanee.ts:120 ; services/dialoguesTata.ts:103,Composition « 3 tas de tomate » : {mesure} = quantité + unité accordée (utils/unite.utils.ts). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_QUANTITE_PRODUIT,TTS_OUTPUT,vente,non,claude,{quantite} {produit},,quantite produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,"services/relectureSpontanee.ts:121 ; services/dialoguesTata.ts:46,104",Composition « 2 tomates » : le produit est déjà au pluriel (règle fr dans dialoguesTata.plurielNom). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_QUANTITE_UNITE_PRODUIT,TTS_OUTPUT,vente,non,claude,{quantite} {unite} de {produit},,quantite unite produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:43,"Résumé écran « 3 sacs de riz » (resumeQuantite) : unité accordée, produit au singulier. — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES."
TATA_RESUME_PRIX_UNITAIRE,TTS_OUTPUT,vente,OUI,claude,{resume} à {prix} {symboleDevise},,resume prix,{symboleDevise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:53,Résumé ÉCRAN (« … à 500 F ») — jamais dit tel quel (« F » se lit comme une lettre). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_RESUME_PRIX_TOTAL,TTS_OUTPUT,vente,OUI,claude,{resume} pour {total} {symboleDevise},,resume total,{symboleDevise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:56,Résumé ÉCRAN (« … pour 1 500 F »). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_INVITE,TTS_OUTPUT,vente,non,manus,Touche-moi et dis ce que tu as vendu.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:60,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_RIEN_COMPRIS,TTS_OUTPUT,vente,non,manus,Je n'ai pas bien entendu. Rapproche le téléphone et redis lentement.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:61,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_AJOUT_PANIER,TTS_OUTPUT,vente,OUI,manus,"C'est dans le panier. Tu ajoutes autre chose, ou tu encaisses ?",,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:62,"Dit après tout ajout au panier (voix et repli). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_ANNULATION_ETAPE,TTS_OUTPUT,vente,non,manus,"D'accord, on oublie ça. Le panier n'a pas bougé.",,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:63,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_COMPRIS,TTS_OUTPUT,vente,OUI,manus,J'ai compris : {quantite} pour {montant} {devise}. {suite},,quantite montant suite,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:105,"Relecture de la vente DICTÉE ; {suite} = TATA_AJOUT_PANIER. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_ERREUR_MOTEUR,TTS_OUTPUT,vente,non,manus,"Ma voix ne marche pas ici. Tape ta vente, je t'accompagne.",,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:114,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PRIX_MANQUANT,TTS_OUTPUT,vente,OUI,manus,Et c'est à combien ?,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:117,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_QUANTITE_MANQUANTE,TTS_OUTPUT,vente,non,manus,Combien de {produit} ?,,produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:121,"{produit} = nom, ou TATA_CE_PRODUIT quand il est inconnu. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_CE_PRODUIT,TTS_OUTPUT,vente,non,claude,ce produit,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:121,Repli lexical quand le produit n'a pas de nom. — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_AMBIGUITE,TTS_OUTPUT,vente,OUI,manus,"{montant} {devise}, c'est le prix d'un seul, ou de tous les {quantite} ?",,montant quantite,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:126,"Levée d'ambiguïté prix unitaire / total. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_CONFIRMATION_UNITAIRE,TTS_OUTPUT,vente,OUI,manus,J'ai compris : {quantite} à {prixUnitaire} {devise}. Total : {total} {devise}. C'est bon ?,,quantite prixUnitaire total,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:138,"Répétition avant confirmation (repli). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_CONFIRMATION_TOTAL,TTS_OUTPUT,vente,OUI,manus,J'ai compris : {quantite} pour {total} {devise}. C'est bon ?,,quantite total,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:141,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_CORRECTION_RECUE,TTS_OUTPUT,vente,OUI,manus,D'accord : {resume}. C'est bon ?,,resume,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/dialoguesTata.ts:148,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_UNITE_INCOMPATIBLE,TTS_OUTPUT,vente,OUI,manus,"Tu dis {uniteParlee}, mais {produit} est au prix du {uniteCatalogue}. Dis-moi combien tu l'as vendu.",,uniteParlee produit uniteCatalogue,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/vendreVocalUnifie.ts:147,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PRIX_INCONNU_PRODUIT,TTS_OUTPUT,vente,OUI,manus,Je n'ai pas le prix de {produit}. Redis-moi combien tu l'as vendu.,,produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/vendreVocalUnifie.ts:152,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PRIX_INCOMPRIS,TTS_OUTPUT,vente,OUI,manus,Je n'ai pas compris le prix. Redis-moi combien tu as vendu.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/vendreVocalUnifie.ts:153,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PRODUIT_INCONNU_AJOUTER,TTS_OUTPUT,vente,non,manus,Je ne connais pas {produit} dans ta boutique. Je l'ajoute ?,,produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/vendreVocalUnifie.ts:225,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_CONFIRME_VENTE,TTS_OUTPUT,vente,OUI,manus,"Vente de {quantite}{produit}{montant}, c'est bien ça ?",,quantite produit montant,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:139,"Composition : {quantite} = TATA_PART_QUANTITE ou vide ; {montant} = TATA_PART_POUR_MONTANT ou vide. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PART_QUANTITE,TTS_OUTPUT,vente,non,claude,{quantite} ,,quantite,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:139,Morceau de TATA_CONFIRME_VENTE (espace final voulu). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_PART_POUR_MONTANT,TTS_OUTPUT,vente,OUI,claude, pour {montant} {devise},,montant,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:136,Morceau de TATA_CONFIRME_VENTE (espace initial voulu). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_CONFIRME_DEPENSE,TTS_OUTPUT,depense,OUI,manus,"Dépense de {montant} {devise}{produit}, c'est bien ça ?",,montant produit,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:140,"{produit} = TATA_PART_POUR_PRODUIT ou vide. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PART_POUR_PRODUIT,TTS_OUTPUT,depense,non,claude, pour {produit},,produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:140,Morceau de TATA_CONFIRME_DEPENSE (espace initial voulu). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_PRODUIT_GENERIQUE,TTS_OUTPUT,vente,non,claude,produit,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,voice-offline/localIntent.ts:133,Repli lexical quand aucun produit n'est reconnu. — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
QUEST_VENTES_AUCUNE,TTS_OUTPUT,questions_caisse,OUI,manus,Tu n'as pas encore de vente aujourd'hui. Ça va venir !,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:94,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_VENTES_JOUR_PLURIEL,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui, tu as vendu pour {ventes} {devise}, en {nombre} ventes.",,ventes nombre,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:97,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_VENTES_JOUR,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui, tu as vendu pour {ventes} {devise}.",,ventes,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:98,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_DEPENSES_AUCUNE,TTS_OUTPUT,questions_caisse,OUI,manus,Aucune dépense notée aujourd'hui.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:102,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_DEPENSES_JOUR,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui, tu as dépensé {depenses} {devise}.",,depenses,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:103,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_SOLDE_CAISSE,TTS_OUTPUT,questions_caisse,OUI,manus,"Dans ta caisse, il y a {caisse} {devise}.",,caisse,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:106,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_SOLDE_CALCULE,TTS_OUTPUT,questions_caisse,OUI,manus,"Ventes moins dépenses, il te reste {solde} {devise} aujourd'hui.",,solde,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:110,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_SOLDE_NEGATIF,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui, tes dépenses dépassent tes ventes de {solde} {devise}.",,solde,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:111,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_BENEFICE_VIDE,TTS_OUTPUT,questions_caisse,OUI,manus,Pas encore de ventes ni de dépenses aujourd'hui.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:115,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_BENEFICE_POSITIF,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Il te reste {resultat} {devise}.",,ventes depenses resultat,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:117,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_BENEFICE_NEGATIF,TTS_OUTPUT,questions_caisse,OUI,manus,"Aujourd'hui : {ventes} {devise} de ventes, {depenses} de dépenses. Tu as dépensé {resultat} {devise} de plus que tes ventes.",,ventes depenses resultat,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:118,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_MEILLEURE_VENTE_INCONNUE,TTS_OUTPUT,questions_caisse,non,manus,Je n'ai pas encore assez de ventes pour te dire ça aujourd'hui.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:122,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_MEILLEURE_VENTE_QUANTITE,TTS_OUTPUT,questions_caisse,non,manus,"Ce qui marche le mieux aujourd'hui : {produit}, {quantite} vendus.",,produit quantite,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:124,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
QUEST_MEILLEURE_VENTE,TTS_OUTPUT,questions_caisse,non,manus,Ce qui marche le mieux aujourd'hui : {produit}.,,produit,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/intentionsCaisse.ts:125,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
